position,substitute,match_id,player.name,player.id,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goalAssist,statistics.accurateOwnHalfPasses,statistics.totalOwnHalfPasses,statistics.accurateOppositionHalfPasses,statistics.totalOppositionHalfPasses,statistics.ballRecovery,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedAssists,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalShots,statistics.goalsPrevented,statistics.totalCross,statistics.duelWon,statistics.bigChanceMissed,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.hitWoodwork,statistics.outfielderBlock,statistics.interceptionWon,statistics.wasFouled,statistics.totalOffside,statistics.expectedGoals,statistics.expectedGoalsOnTarget,statistics.totalClearance,statistics.keyPass,statistics.aerialLost,statistics.duelLost,statistics.challengeLost,statistics.errorLeadToAGoal,statistics.unsuccessfulTouch,statistics.aerialWon,statistics.fouls,statistics.totalContest,statistics.wonContest,statistics.dispossessed,statistics.blockedScoringAttempt,statistics.totalTackle,statistics.wonTackle,statistics.accurateCross,statistics.bigChanceCreated,statistics.goodHighClaim,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.errorLeadToAShot,statistics.goals,statistics.crossNotClaimed,statistics.punches,statistics.clearanceOffLine,statistics.penaltyWon,statistics.penaltyConceded,statistics.penaltyFaced,statistics.lastManTackle,statistics.penaltyMiss,statistics.penaltySave,statistics.ownGoals
F,True,12437771,Abdón Prats,146852,1.0,1.0,,,0,1.0,1.0,,,,,,12,4.0,6.3,,6.5e-07,6.3,6.5,1,,,,1.0,1.0,,,1.0,1.0,,,0.0548,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,True,12437771,Siebe Van Der Heyden,842164,,,,,0,,,,,,,,11,1.0,6.5,,,6.5,6.7,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,False,12437771,Paulo Gazzaniga,164343,18.0,17.0,2.0,1.0,0,17.0,17.0,,1.0,5.0,,,90,23.0,5.7,1.0,0.00013452,5.7,5.9,0,-0.4768,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
D,False,12437771,Juanpe,129861,55.0,53.0,2.0,1.0,0,30.0,31.0,23.0,24.0,5.0,,,57,63.0,6.4,4.0,0.0184128,6.4,6.2,0,,,1.0,,,,,,,,,,,3.0,,2.0,3.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
D,False,12437771,David López,135116,94.0,91.0,6.0,4.0,0,43.0,44.0,48.0,50.0,4.0,,,90,102.0,7.0,3.0,0.0347884,7.0,7.3,1,,,4.0,,,,,,,,,0.019,,4.0,,3.0,4.0,,,,2.0,1.0,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
D,False,12437771,Daley Blind,44864,119.0,110.0,9.0,7.0,0,27.0,31.0,83.0,97.0,5.0,,,90,137.0,7.5,19.0,0.10872,7.5,7.5,1,,9.0,3.0,,,,,,,,,0.0176,,1.0,1.0,1.0,2.0,1.0,,,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
M,False,12437771,Bryan Gil,910026,25.0,23.0,1.0,1.0,0,7.0,7.0,16.0,20.0,4.0,,,57,42.0,6.5,10.0,0.0354272,6.5,6.6,2,,2.0,4.0,,1.0,,,,,3.0,,0.1186,,,1.0,,5.0,1.0,,3.0,,1.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
M,False,12437771,Arnau Martínez,1084081,72.0,66.0,2.0,1.0,0,21.0,23.0,45.0,50.0,11.0,,,90,92.0,7.2,9.0,0.0517928,7.2,6.8,1,,1.0,7.0,1.0,1.0,,,1.0,,3.0,,0.1871,,1.0,2.0,,3.0,1.0,,,2.0,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,
M,False,12437771,Oriol Romeu,69416,56.0,51.0,6.0,5.0,0,15.0,15.0,36.0,41.0,4.0,,,73,64.0,6.6,8.0,0.0830841,6.6,6.1,1,,,1.0,,1.0,,,,1.0,,,0.0439,,,,1.0,7.0,1.0,,2.0,,4.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
M,False,12437771,Donny van de Beek,361790,18.0,15.0,2.0,1.0,0,7.0,7.0,8.0,12.0,2.0,,,63,29.0,7.3,7.0,0.00796125,7.3,7.3,1,,1.0,2.0,,,1.0,,,1.0,,,0.0727,0.8681,,,,3.0,,,3.0,,3.0,,,,,2.0,2.0,,,,,,,1.0,,,,,,,,,,
M,False,12437771,Miguel Gutiérrez,908716,63.0,60.0,2.0,2.0,0,14.0,15.0,46.0,60.0,5.0,,,90,87.0,7.2,17.0,0.0545865,7.2,6.2,0,,12.0,2.0,,,,,,,,,,,1.0,1.0,,4.0,1.0,,2.0,,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,
F,False,12437771,Yáser Asprilla,1092769,38.0,33.0,2.0,2.0,0,6.0,7.0,27.0,36.0,1.0,,,90,55.0,6.9,15.0,0.0867459,6.9,7.1,2,,5.0,2.0,,,,,,,,,0.0749,,,,,,,,4.0,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
F,False,12437771,Arnaut Danjuma,827064,17.0,17.0,1.0,1.0,0,6.0,6.0,13.0,18.0,,,,63,31.0,6.8,10.0,0.387979,6.8,6.8,0,,7.0,1.0,,,,,,,1.0,1.0,,,,2.0,,4.0,,,1.0,,1.0,1.0,,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,
M,True,12437771,Gabriel Misehouy,1142566,14.0,13.0,,,0,,,13.0,15.0,2.0,,,33,22.0,6.7,5.0,0.0116443,6.7,6.3,1,,1.0,2.0,,1.0,,,,,1.0,,0.0248,,,,1.0,3.0,,,2.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
F,True,12437771,Cristhian Stuani,32048,1.0,1.0,,,0,,,1.0,1.0,,,,33,3.0,6.5,,0.00074502,6.5,6.5,0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,True,12437771,Iván Martín,973699,25.0,20.0,2.0,1.0,0,2.0,2.0,19.0,26.0,1.0,,,27,32.0,6.9,7.0,0.0505352,6.9,6.6,1,,3.0,1.0,,,,,,,1.0,,0.0288,,,2.0,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
F,True,12437771,Abel Ruíz,826013,7.0,7.0,1.0,1.0,0,,,7.0,7.0,1.0,,,27,9.0,6.7,,0.00972209,6.7,6.5,2,,,,,1.0,,,,,,,0.2333,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
F,True,12437771,Portu,218616,3.0,2.0,,,0,,,3.0,6.0,,,,17,6.0,6.7,3.0,0.0119031,6.7,6.4,0,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
G,False,12437769,Álvaro Fernández,852412,44.0,27.0,27.0,10.0,0,19.0,21.0,8.0,23.0,7.0,1.0,2.0,90,55.0,7.4,18.0,0.00227047,7.4,7.8,0,1.0884,,1.0,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,2.0,3.0,3.0,,,,,,,,,,,,
D,False,12437769,Gonzalo Montiel,822933,45.0,42.0,2.0,2.0,0,27.0,28.0,15.0,19.0,3.0,,,86,67.0,7.1,9.0,0.00922699,7.1,7.1,0,,2.0,4.0,,,,,,1.0,,,,,4.0,,,3.0,,,1.0,,3.0,,,,,4.0,2.0,,,,,,,,,,,,,,,,,
D,False,12437769,Loïc Badé,1006489,52.0,48.0,7.0,3.0,0,41.0,41.0,7.0,11.0,4.0,,,90,60.0,7.0,5.0,0.00254616,7.0,7.3,0,,,4.0,,,,,,1.0,1.0,,,,2.0,,,2.0,1.0,,,,1.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,
D,False,12437769,Nemanja Gudelj,68332,55.0,50.0,6.0,3.0,0,41.0,43.0,10.0,13.0,3.0,,,89,63.0,6.9,5.0,0.0688486,6.9,6.9,0,,1.0,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
D,False,12437769,Kike Salas,1097719,58.0,39.0,9.0,2.0,0,23.0,27.0,16.0,31.0,5.0,,,90,84.0,7.5,24.0,0.0797141,7.5,7.7,0,,,8.0,,,,,1.0,1.0,1.0,,,,2.0,1.0,,2.0,1.0,,,3.0,1.0,,,,,4.0,2.0,,,,,,,,,,,,,,,,,
M,False,12437769,Manu Bueno,1142094,20.0,18.0,,,0,14.0,14.0,4.0,6.0,4.0,,,70,32.0,7.6,4.0,0.00393629,7.6,7.8,3,,,3.0,,2.0,1.0,,,,1.0,,0.1398,0.5199,2.0,,,1.0,,,1.0,,,,,1.0,,2.0,2.0,,,,,,,1.0,,,,,,,,,,
M,False,12437769,Lucien Agoumé,960006,41.0,33.0,7.0,2.0,0,23.0,26.0,10.0,16.0,13.0,,,90,61.0,7.0,12.0,0.00692442,7.0,7.0,0,,1.0,3.0,,,,,,3.0,1.0,,,,4.0,,,1.0,1.0,,2.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
M,False,12437769,Saúl Ñíguez,116955,40.0,35.0,5.0,3.0,1,17.0,17.0,18.0,23.0,6.0,,,90,61.0,7.9,8.0,0.0470785,7.9,7.0,2,,,4.0,,1.0,1.0,,,5.0,,,0.1567,0.1618,1.0,3.0,1.0,7.0,1.0,,2.0,2.0,4.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
F,False,12437769,Jesús Navas,11869,28.0,22.0,4.0,2.0,0,9.0,13.0,13.0,17.0,2.0,,,71,42.0,6.6,11.0,0.00783557,6.6,6.5,0,,2.0,2.0,,,,,,2.0,,1.0,,,1.0,,2.0,5.0,1.0,,1.0,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
F,False,12437769,Kelechi Iheanacho,359642,4.0,3.0,,,0,2.0,3.0,1.0,1.0,,,,45,6.0,6.4,3.0,0.00171819,6.4,6.3,0,,,,,,,,,,,1.0,,,,,1.0,3.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
F,False,12437769,Dodi Lukebakio,823631,16.0,10.0,2.0,,0,4.0,4.0,6.0,15.0,2.0,,,90,44.0,6.5,21.0,0.0343184,6.5,6.5,2,,3.0,7.0,,1.0,1.0,,,,2.0,1.0,0.2643,0.1346,,,,8.0,,,5.0,2.0,1.0,9.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
F,True,12437769,Alvaro Garcia-Pascual,1929542,12.0,9.0,1.0,1.0,0,1.0,1.0,8.0,12.0,4.0,,,45,18.0,6.7,5.0,0.00643103,6.7,6.7,0,,1.0,3.0,,,,,,1.0,1.0,,,,,,2.0,4.0,1.0,,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
M,True,12437769,Albert Sambi Lokonga,901892,3.0,2.0,2.0,1.0,0,,1.0,2.0,2.0,2.0,,,20,6.0,6.8,1.0,0.00023819,6.8,6.9,0,,,2.0,,,,,,,,,,,2.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
M,True,12437769,Stanis Idumbo Muzambo,1149152,5.0,3.0,1.0,,0,1.0,1.0,2.0,4.0,4.0,,,19,8.0,6.5,3.0,0.00401013,6.5,6.6,1,,,1.0,,1.0,,,,,,,0.0208,,,1.0,,2.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
D,True,12437769,Darío Benavides,1142092,,,,,0,,,,,,,,13,2.0,6.5,2.0,,6.5,6.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,True,12437769,Marcão,840951,1.0,1.0,,,0,1.0,1.0,,,,,,8,4.0,6.6,,5.25e-06,6.6,6.8,0,,,1.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,False,12437769,Vicente Guaita,32023,21.0,18.0,4.0,1.0,0,18.0,20.0,,1.0,11.0,,2.0,90,29.0,6.5,4.0,5.269e-05,6.5,7.2,0,-0.1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,False,12437769,Javi Rodríguez,1526627,44.0,38.0,5.0,3.0,0,25.0,26.0,13.0,18.0,1.0,,,90,69.0,6.8,9.0,0.0208349,6.8,6.5,0,,,4.0,,,,,,4.0,1.0,,,,5.0,,4.0,8.0,2.0,,2.0,,1.0,1.0,,,,3.0,2.0,,,,,,,,,,,,,,,,,
D,False,12437769,Carl Starfelt,360718,56.0,51.0,3.0,2.0,0,39.0,41.0,12.0,15.0,5.0,,,90,67.0,6.9,5.0,0.00518517,6.9,6.4,0,,,3.0,,,,,,2.0,1.0,,,,7.0,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
D,False,12437769,Marcos Alonso,69408,81.0,72.0,10.0,6.0,0,44.0,48.0,30.0,39.0,6.0,,,90,99.0,7.2,15.0,0.0687008,7.2,7.0,0,,6.0,4.0,,,,,,,,1.0,,,3.0,1.0,1.0,2.0,1.0,,2.0,2.0,,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,
M,False,12437769,Óscar Mingueza,859773,44.0,33.0,4.0,1.0,0,11.0,17.0,23.0,35.0,5.0,,,90,85.0,6.9,23.0,0.112483,6.9,6.7,1,,8.0,4.0,,1.0,,,,1.0,1.0,,0.0148,,2.0,,1.0,4.0,,,1.0,,1.0,2.0,1.0,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,
M,False,12437769,Fran Beltrán,835484,58.0,55.0,4.0,3.0,0,27.0,28.0,28.0,30.0,6.0,,,73,66.0,7.1,5.0,0.0647241,7.1,7.2,0,,,4.0,,,,,,,1.0,,,,,1.0,2.0,4.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
M,False,12437769,Ilaix Moriba,962890,39.0,34.0,2.0,1.0,0,10.0,10.0,24.0,30.0,4.0,,,90,52.0,7.1,8.0,0.0196435,7.1,7.0,0,,1.0,6.0,,,,,,1.0,3.0,,,,2.0,1.0,,2.0,,,,1.0,,1.0,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,
M,False,12437769,Hugo Álvarez,1154935,44.0,29.0,3.0,1.0,0,14.0,20.0,15.0,24.0,4.0,,,66,62.0,6.9,21.0,0.0108893,6.9,6.6,1,,,6.0,,1.0,,,,,,1.0,0.0183,,,,,3.0,,,3.0,1.0,2.0,4.0,3.0,,,2.0,1.0,,,,,,,,,,,,,,,,,
F,False,12437769,Iago Aspas,19356,43.0,33.0,3.0,2.0,0,11.0,12.0,22.0,31.0,2.0,,,90,56.0,7.2,14.0,0.181515,7.2,6.5,3,,,2.0,,1.0,1.0,,,,2.0,,0.3142,0.726,,1.0,1.0,3.0,,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
F,False,12437769,Pablo Durán,1398524,21.0,17.0,,,0,9.0,10.0,8.0,11.0,1.0,,,73,35.0,7.0,10.0,0.112084,7.0,6.3,3,,,2.0,,3.0,,2.0,,1.0,2.0,1.0,0.1806,,,1.0,,5.0,,,2.0,,1.0,1.0,,3.0,,,,,1.0,,,,,,,,,,,,,,,
F,False,12437769,Williot Swedberg,1126779,14.0,13.0,,,0,3.0,3.0,10.0,13.0,3.0,,,66,26.0,6.3,7.0,0.0904422,6.3,6.4,1,,2.0,1.0,1.0,1.0,,,,,1.0,,0.3142,,,2.0,,4.0,1.0,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,
D,True,12437769,Mihailo Ristić,363774,12.0,10.0,1.0,,0,4.0,6.0,6.0,6.0,1.0,,,13,14.0,6.6,3.0,0.00353867,6.6,6.7,0,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
F,True,12437769,Jonathan Bamba,595576,7.0,7.0,,,0,2.0,2.0,5.0,6.0,1.0,,,24,12.0,6.4,3.0,0.00678132,6.4,6.5,0,,1.0,1.0,,,,,,,,1.0,,,1.0,,,2.0,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
M,True,12437769,Hugo Sotelo,1120669,25.0,21.0,4.0,3.0,0,13.0,13.0,8.0,12.0,,,,17,28.0,7.0,5.0,0.00832162,7.0,6.6,0,,,,,,,,,1.0,,,,,,2.0,1.0,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
F,True,12437769,Borja Iglesias,785989,1.0,,,,0,,,,1.0,,,,17,1.0,6.5,1.0,,6.5,6.4,0,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
F,True,12437769,Alfon González,1468090,4.0,4.0,,,0,2.0,2.0,2.0,4.0,,,,11,8.0,6.3,2.0,0.00380398,6.3,6.9,1,,2.0,,1.0,,1.0,,,,,,0.4018,0.3624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,False,12437759,Augusto Batalla,358910,27.0,16.0,18.0,7.0,0,12.0,13.0,4.0,14.0,7.0,3.0,3.0,90,35.0,6.5,11.0,0.00450852,6.5,5.9,0,-1.5401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
D,False,12437759,Andrei Rațiu,965031,32.0,26.0,1.0,1.0,0,19.0,22.0,7.0,11.0,7.0,,,90,57.0,6.4,11.0,0.00697011,6.4,6.3,0,,1.0,6.0,,,,,,1.0,,,,,1.0,,,2.0,,,2.0,1.0,,4.0,2.0,,,3.0,2.0,,,,,,,,,,,,,,,,,
D,False,12437759,Florian Lejeune,88528,43.0,36.0,9.0,7.0,1,26.0,29.0,10.0,14.0,6.0,,,90,59.0,7.6,8.0,0.0453346,7.6,6.8,4,,,2.0,,1.0,2.0,,1.0,2.0,1.0,,0.2055,0.1208,4.0,2.0,,3.0,1.0,,1.0,,2.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
D,False,12437759,Abdul Mumin,846147,33.0,21.0,9.0,1.0,0,14.0,18.0,7.0,15.0,6.0,,,90,48.0,7.1,14.0,0.00216387,7.1,7.1,2,,,5.0,,1.0,1.0,,,1.0,,,0.1063,0.7248,7.0,,,1.0,,,1.0,2.0,,1.0,1.0,1.0,,2.0,1.0,,,,,,,1.0,,,,,,,,,,
D,False,12437759,Josep Chavarría,1010421,31.0,25.0,4.0,1.0,0,10.0,12.0,15.0,19.0,4.0,,,90,56.0,6.9,6.0,0.0994178,6.9,6.8,0,,,5.0,,,,,,1.0,,,,,7.0,1.0,,2.0,1.0,,,,1.0,2.0,2.0,,,3.0,3.0,,,,,,,,,,,,,,,,,
M,False,12437759,Jorge de Frutos,900003,9.0,7.0,,,1,1.0,1.0,7.0,11.0,2.0,,,66,22.0,6.9,8.0,0.138539,6.9,6.3,2,,3.0,2.0,,1.0,,,,1.0,,,0.2297,,,3.0,1.0,5.0,,,1.0,,1.0,2.0,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,
M,False,12437759,Pathé Ismaël Ciss,913679,7.0,7.0,,,0,2.0,2.0,5.0,5.0,2.0,,,60,18.0,6.0,3.0,0.00131111,6.0,5.9,1,,,1.0,,1.0,,,,,,,0.0456,,,,,8.0,,,,,5.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,
M,False,12437759,Unai López,588566,23.0,18.0,3.0,,0,12.0,12.0,6.0,13.0,4.0,,,66,32.0,7.0,8.0,0.0376762,7.0,7.7,1,,2.0,2.0,,,1.0,,,1.0,1.0,,0.333,0.9017,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
M,False,12437759,Adrián Embarba,346516,13.0,9.0,1.0,1.0,0,1.0,1.0,8.0,13.0,1.0,,,54,25.0,6.3,8.0,0.0376718,6.3,6.3,1,,1.0,3.0,,,,,,,,,0.0612,,3.0,,,6.0,3.0,,1.0,1.0,1.0,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
F,False,12437759,Randy Nteka,932764,16.0,9.0,,,0,2.0,4.0,7.0,13.0,2.0,,,60,26.0,6.8,10.0,0.0319693,6.8,6.7,0,,1.0,5.0,,,,,,,,,,,,2.0,3.0,5.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,
F,False,12437759,Isi Palazón,899982,38.0,31.0,3.0,2.0,1,7.0,8.0,25.0,33.0,2.0,,,90,59.0,8.3,13.0,0.0810591,8.3,8.2,2,,3.0,8.0,,,1.0,,,,4.0,,0.5556,0.4535,1.0,1.0,,4.0,,,2.0,1.0,3.0,1.0,,1.0,1.0,3.0,2.0,1.0,,,,,,1.0,,,,,,,,,,
M,True,12437759,Álvaro García,345111,11.0,7.0,2.0,,0,,1.0,7.0,11.0,1.0,,,36,16.0,6.5,8.0,0.0199096,6.5,6.1,0,,1.0,,,,,,,,,,,,,2.0,,2.0,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
M,True,12437759,Óscar Valentín,900008,7.0,6.0,1.0,1.0,0,5.0,5.0,1.0,2.0,1.0,,,30,13.0,6.6,1.0,0.0002538,6.6,6.6,0,,,1.0,,,,,1.0,,,,,,3.0,,2.0,5.0,2.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
F,True,12437759,Sergio Camello,910024,6.0,4.0,,,0,3.0,4.0,1.0,2.0,1.0,,,30,9.0,6.5,2.0,0.00194749,6.5,6.5,0,,,1.0,,,,,,,,,,,,,1.0,3.0,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
M,True,12437759,Pedro Díaz,900669,9.0,9.0,1.0,1.0,0,3.0,3.0,6.0,6.0,2.0,,,24,16.0,6.9,1.0,0.00448131,6.9,6.9,1,,,4.0,,1.0,,,,,,,0.0881,,,,,3.0,2.0,,1.0,,1.0,1.0,1.0,,,3.0,2.0,,,,,,,,,,,,,,,,,
D,True,12437759,Iván Balliu,152446,8.0,6.0,,,0,5.0,5.0,1.0,5.0,,,,24,13.0,6.5,4.0,0.00053505,6.5,6.7,0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,False,12437759,Thibaut Courtois,70988,28.0,24.0,5.0,1.0,0,24.0,24.0,,4.0,6.0,,2.0,90,37.0,6.4,4.0,5.336e-05,6.4,6.4,0,-0.7992,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
D,False,12437759,Lucas Vázquez,255239,62.0,58.0,2.0,2.0,0,24.0,27.0,34.0,41.0,5.0,,,79,91.0,6.9,15.0,0.362898,6.9,6.3,0,,6.0,6.0,,,,,,1.0,2.0,,,,1.0,2.0,,5.0,2.0,,1.0,,,4.0,2.0,1.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,
D,False,12437759,Aurélien Tchouaméni,859025,83.0,77.0,8.0,6.0,0,52.0,56.0,25.0,27.0,4.0,,,90,96.0,6.5,9.0,0.00846363,6.5,6.8,0,,,7.0,,,,,1.0,1.0,1.0,,,,1.0,,1.0,3.0,,,1.0,3.0,1.0,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,
D,False,12437759,Antonio Rüdiger,142622,65.0,60.0,11.0,9.0,0,44.0,46.0,16.0,19.0,4.0,,,90,83.0,6.3,7.0,0.0093569,6.3,6.6,2,,,3.0,1.0,1.0,,,1.0,1.0,,,0.054,,7.0,,1.0,4.0,,,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,
D,False,12437759,Fran García,851271,60.0,51.0,8.0,3.0,0,19.0,22.0,33.0,43.0,1.0,,,90,92.0,6.8,16.0,0.129339,6.8,6.4,0,,5.0,6.0,,,,,,1.0,3.0,,,,5.0,,1.0,4.0,1.0,,,1.0,,1.0,,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,
M,False,12437759,Federico Valverde,831808,74.0,62.0,11.0,5.0,0,27.0,30.0,35.0,44.0,5.0,,,90,91.0,7.2,16.0,0.0596351,7.2,7.8,1,,,,,,1.0,,,3.0,,,0.0255,0.3098,1.0,1.0,,1.0,,,3.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
M,False,12437759,Luka Modrić,15466,71.0,62.0,7.0,5.0,0,25.0,27.0,37.0,47.0,7.0,,,72,81.0,6.8,15.0,0.234507,6.8,6.5,1,,3.0,,,1.0,,,,2.0,,,0.0318,,,,2.0,4.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
M,False,12437759,Arda Güler,1091116,38.0,32.0,5.0,4.0,2,6.0,8.0,26.0,31.0,4.0,,,79,55.0,7.5,8.0,0.0404272,7.5,7.2,3,,1.0,5.0,1.0,3.0,,,,2.0,3.0,1.0,0.332,,,2.0,1.0,3.0,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
M,False,12437759,Jude Bellingham,991011,38.0,31.0,3.0,2.0,0,17.0,20.0,14.0,20.0,3.0,,,90,52.0,7.3,13.0,0.0288741,7.3,7.4,1,,2.0,5.0,,,1.0,,,,4.0,,0.0909,0.6242,1.0,1.0,,4.0,1.0,,1.0,,,1.0,,2.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,
M,False,12437759,Brahim Díaz,835485,16.0,16.0,,,0,6.0,6.0,10.0,10.0,2.0,,,63,26.0,6.5,4.0,0.00610551,6.5,6.4,0,,,4.0,,,,,,,1.0,,,,,1.0,1.0,5.0,,,1.0,,1.0,2.0,1.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,
F,False,12437759,Rodrygo,910536,43.0,36.0,2.0,,1,6.0,8.0,33.0,38.0,2.0,,,90,67.0,8.7,16.0,0.211113,8.7,8.5,3,,3.0,5.0,,,2.0,,,2.0,,,0.1039,0.3279,,3.0,1.0,5.0,1.0,,6.0,,1.0,6.0,4.0,,1.0,1.0,1.0,3.0,1.0,,,,,1.0,,,,,,,,,,
F,True,12437759,Vinícius Júnior,868812,4.0,3.0,,,0,2.0,2.0,1.0,2.0,2.0,,,27,12.0,6.8,5.0,0.0250445,6.8,6.1,1,,,3.0,,,1.0,,,,2.0,,0.0402,0.0604,,1.0,,3.0,1.0,,2.0,,1.0,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,
M,True,12437759,Eduardo Camavinga,973887,25.0,23.0,1.0,,0,12.0,12.0,11.0,13.0,1.0,,,18,30.0,6.7,3.0,0.00383463,6.7,6.7,0,,,3.0,,,,,,1.0,,,,,,,,2.0,,,,,1.0,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,
M,True,12437759,Dani Ceballos,547838,16.0,15.0,1.0,,0,8.0,8.0,7.0,8.0,1.0,,,11,18.0,6.6,1.0,0.00206798,6.6,6.7,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,True,12437759,Endrick,1174937,1.0,1.0,,,0,,,1.0,1.0,,,,11,4.0,6.7,1.0,0.00024524,6.7,6.5,1,,,2.0,,,1.0,,,,1.0,,0.0145,0.1375,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
