position,substitute,match_id,player.name,player.id,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goalAssist,statistics.accurateOwnHalfPasses,statistics.totalOwnHalfPasses,statistics.accurateOppositionHalfPasses,statistics.totalOppositionHalfPasses,statistics.ballRecovery,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedAssists,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalShots,statistics.goalsPrevented,statistics.totalCross,statistics.duelWon,statistics.bigChanceMissed,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.hitWoodwork,statistics.outfielderBlock,statistics.interceptionWon,statistics.wasFouled,statistics.totalOffside,statistics.expectedGoals,statistics.expectedGoalsOnTarget,statistics.totalClearance,statistics.keyPass,statistics.aerialLost,statistics.duelLost,statistics.challengeLost,statistics.errorLeadToAGoal,statistics.unsuccessfulTouch,statistics.aerialWon,statistics.fouls,statistics.totalContest,statistics.wonContest,statistics.dispossessed,statistics.blockedScoringAttempt,statistics.totalTackle,statistics.wonTackle,statistics.accurateCross,statistics.bigChanceCreated,statistics.goodHighClaim,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.errorLeadToAShot,statistics.goals,statistics.crossNotClaimed,statistics.punches,statistics.clearanceOffLine,statistics.penaltyWon,statistics.penaltyConceded,statistics.penaltyFaced,statistics.lastManTackle,statistics.penaltyMiss,statistics.penaltySave,statistics.ownGoals
D,False,12437498,Hamari Traoré,362014,23.0,20.0,,,0,9.0,10.0,12.0,14.0,2.0,,,61,33.0,6.6,5.0,0.0350101,6.6,6.5,0,,1.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
D,False,12437498,Aritz Elustondo,785468,54.0,48.0,3.0,1.0,0,26.0,26.0,22.0,29.0,2.0,,,90,62.0,6.7,8.0,0.0134014,6.7,6.4,0,,1.0,2.0,,,,,,,,1.0,,,3.0,,1.0,2.0,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
D,False,12437498,Igor Zubeldia,838159,69.0,67.0,2.0,,0,35.0,35.0,32.0,34.0,6.0,,,90,83.0,7.1,3.0,0.024453,7.1,6.8,1,,,5.0,1.0,1.0,,,,5.0,1.0,,0.1538,,4.0,,,2.0,,,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
D,False,12437498,Aihen Muñoz,966441,35.0,24.0,5.0,1.0,0,10.0,13.0,15.0,29.0,2.0,,,78,60.0,6.6,21.0,0.143849,6.6,6.5,1,,7.0,6.0,,,,,,,2.0,,0.0735,,,1.0,,4.0,,,3.0,2.0,4.0,2.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
M,False,12437498,Martín Zubimendi,966837,53.0,47.0,2.0,,0,19.0,19.0,28.0,34.0,4.0,,,90,64.0,5.9,8.0,0.0331118,5.9,6.5,3,,,2.0,2.0,1.0,1.0,,,3.0,,,0.3154,,1.0,,1.0,4.0,,,2.0,2.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,
M,False,12437498,Pablo Marín,1139409,47.0,37.0,4.0,2.0,0,7.0,9.0,30.0,38.0,5.0,,,90,60.0,7.1,12.0,0.0302884,7.1,6.8,4,,,6.0,1.0,1.0,2.0,,,,1.0,,0.1631,0.2773,1.0,,,1.0,,,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
M,False,12437498,Takefusa Kubo,880218,32.0,28.0,2.0,2.0,0,7.0,7.0,23.0,31.0,4.0,,,90,53.0,7.0,13.0,0.113787,7.0,6.5,0,,6.0,4.0,,,,,,,1.0,,,,,1.0,3.0,10.0,1.0,,1.0,,2.0,5.0,3.0,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,
M,False,12437498,Brais Méndez,845385,38.0,30.0,2.0,2.0,0,8.0,9.0,22.0,30.0,7.0,,,77,47.0,6.9,11.0,0.052321,6.9,7.0,0,,1.0,4.0,,,,,,,2.0,1.0,,,,,1.0,2.0,,,1.0,,3.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
M,False,12437498,Sergio Gómez,855835,15.0,12.0,,,0,8.0,8.0,8.0,17.0,1.0,,,61,31.0,7.2,12.0,0.410444,7.2,6.7,0,,10.0,4.0,,,,,,,1.0,,,,,2.0,1.0,3.0,,,,2.0,,2.0,1.0,1.0,,,,4.0,1.0,,,,,,,,,,,,,,,
F,False,12437498,Mikel Oyarzabal,823622,16.0,11.0,2.0,,0,3.0,3.0,8.0,14.0,1.0,,,87,29.0,6.2,10.0,0.00843138,6.2,6.6,4,,1.0,4.0,3.0,3.0,1.0,1.0,,,,2.0,0.9543,0.3544,,,,3.0,,,2.0,2.0,1.0,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,
